Report Name,Individual Item Report
Date Run,9/9/25
Filters,Transaction Date >= 9/1/25,Transaction Date <= 9/9/25,Network ID IN 9,Time Zone = GMT

Order ID,Transaction Date,Transaction Time,MID,Advertiser Name,SKU,Product Name,Sales,# of Items,Total Commission,Order Coupon Code(s)
"ASA04070371",9/1/25,"06:39:56",52993,"Adidas KSA","JS3688_370","BREAKNET 3.0 SHOES KIDS",24.63,1,1.724,"RAN221"
"ASA04072685",9/1/25,"20:53:57",52993,"Adidas KSA","IE8664_570","ALPHARESPONSE SHOES",40.33,1,2.823,"RAN221"
"ASA04070371",9/1/25,"06:39:56",52993,"Adidas KSA","GW1988_350","TENSAUR HOOK AND LOOP SHOES",19.92,1,1.394,"RAN221"
"ASA04073593",9/2/25,"05:14:24",52993,"Adidas KSA","KL0343_220","AL AHLI FC 25/26 AWAY JSY",84.04,1,5.883,"RAN221"
"ASA04078629",9/3/25,"21:19:13",52993,"Adidas KSA","JS1418_540","GAZELLE INDOOR SHOES",74.88,1,5.242,"RAN221"
"ASA04078629",9/3/25,"21:19:13",52993,"Adidas KSA","IF3204_540","RAPIDMOVE TRAINING SHOES",70.25,1,4.918,"RAN221"
"ASA04079074",9/4/25,"01:21:55",52993,"Adidas KSA","IG5837_610","SUPERNOVA RISE RUNNING SHOES",80.91,1,5.664,"RAN222"
"ASA04083735",9/5/25,"18:54:42",52993,"Adidas KSA","IH1057_310","TENSAUR COMFORT SHOES KIDS",23.53,1,1.647,"RAN221"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IW5329_330","RUN POCKET MEDIUM-SUPPORT BRA",18.56,1,1.299,"RAN221"
"ASA04083583",9/5/25,"18:08:52",52993,"Adidas KSA","JK5299_500","ADIPOWER CTRL MULTIWEIGHT 3.4 RACKET",270.16,1,18.911,"RAN221"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IW5346_330","TECHFIT MEDIUM-SUPPORT HIGH-NECK BRA",16.5,1,1.155,"RAN221"
"ASA04083578",9/5/25,"18:09:17",52993,"Adidas KSA","IX3280_330","TECHFIT MEDIUM-SUPPORT HIGH-NECK COLORBLOCK BRA",17.12,1,1.198,"RAN221"
"ASA04083735",9/5/25,"18:54:42",52993,"Adidas KSA","JH9257_310","TENSAUR SWITCH SHOES KIDS",22.35,1,1.565,"RAN221"
"ASA04085231",9/6/25,"08:20:51",52993,"Adidas KSA","JQ9908_710","TERREX FREE HIKER 2.0 LOW GORE-TEX HIKING SHOES",160.33,1,11.223,"RAN221"
"ASA04084624",9/6/25,"01:32:54",52993,"Adidas KSA","FX3632_640","ULTIMASHOW SHOES",35.35,1,2.475,"RAN221"
"ASA04086499",9/6/25,"16:10:09",52993,"Adidas KSA","JQ2950_610","ULTRABOOST 5 GTX",177.23,1,12.406,"RAN221"
"ASA04089079",9/7/25,"15:48:42",52993,"Adidas KSA","JH1261_720","WOMEN'S EURO25 PRO BALL",83.67,1,5.857,"RAN221"
"ASA04091292",9/8/25,"13:42:56",52993,"Adidas KSA","JS3036_680","DROPSET CONTROL TRAINING SHOES",80.45,1,5.632,"RAN221"
"ASA04091292",9/8/25,"13:42:56",52993,"Adidas KSA","JM6438_230","MEMORIES OF SPORT GALLERY GRAPHIC TEE",26.7,1,1.869,"RAN221"
