,date,order id,amount,coupon,country,currency,customer type
0,2025-09-03,DZ1164029328,0,TDD39,SAU,SAR,returning
1,2025-09-03,DZ1163989035,0,GY33,SAU,SAR,returning
2,2025-09-03,DZ1163890948,0,TDD40,SAU,SAR,returning
3,2025-09-03,DZ1163802629,0,TDD44,SAU,SAR,returning
4,2025-09-03,DZ1163578273,0,TDD44,SAU,SAR,returning
5,2025-09-03,DZ1163705070,0,TDD44,SAU,SAR,returning
6,2025-09-03,DZ1163963009,0,Tdd14,SAU,SAR,returning
7,2025-09-03,DZ1163765515,0,GY30,SAU,SAR,returning
8,2025-09-03,DZ1163899968,0,TDD44,SAU,SAR,returning
9,2025-09-03,DZ1163913322,0,GY9,SAU,SAR,returning
10,2025-09-03,DZ1163593992,0,sd10,SAU,SAR,returning
11,2025-09-03,DZ1163628972,0,GY45,SAU,SAR,returning
12,2025-09-03,DZ1163842691,0,sd62,SAU,SAR,returning
13,2025-09-03,DZ1163823232,0,GY72,SAU,SAR,returning
14,2025-09-03,DZ1163885800,0,Sd90,SAU,SAR,returning
15,2025-09-03,DZ1163634802,0,TDD40,SAU,SAR,returning
16,2025-09-03,DZ1163966111,0,sd21,SAU,SAR,returning
17,2025-09-03,DZ1163989123,0,SD90,SAU,SAR,returning
18,2025-09-03,DZ1163570001,0,GY36,SAU,SAR,returning
19,2025-09-03,DZ1163546153,0,TDD4,SAU,SAR,returning
20,2025-09-03,DZ1163723792,0,GY36,SAU,SAR,returning
21,2025-09-03,DZ1164055739,0,SD2,SAU,SAR,new
22,2025-09-03,DZ1163868838,0,gy5,SAU,SAR,returning
23,2025-09-03,DZ1163973338,0,TDD14,SAU,SAR,returning
24,2025-09-03,DZ1163905237,0,GY38,SAU,SAR,new
25,2025-09-03,DZ1163607797,0,SD76,SAU,SAR,returning
26,2025-09-03,DZ1163675348,0,GY36,SAU,SAR,returning
27,2025-09-03,DZ1163969125,0,GY39,SAU,SAR,returning
28,2025-09-03,DZ1163517520,0,GY35,SAU,SAR,returning
29,2025-09-03,DZ1164066398,0,SD184,SAU,SAR,returning
30,2025-09-03,DZ1164106196,0,GY50,SAU,SAR,new
31,2025-09-03,DZ1163518752,0,SD90,SAU,SAR,returning
32,2025-09-03,DZ1163984305,0,gy5,SAU,SAR,returning
33,2025-09-03,DZ1163507763,0,TDD34,SAU,SAR,returning
34,2025-09-03,DZ1163572762,0,GY22,SAU,SAR,returning
35,2025-09-03,DZ1163907481,0,Gy5,SAU,SAR,returning
36,2025-09-03,DZ1163834078,0,sd20,SAU,SAR,returning
37,2025-09-03,DZ1163836278,0,tdd33,SAU,SAR,returning
38,2025-09-03,DZ1163739148,0,GY33,SAU,SAR,returning
39,2025-09-03,DZ1163879321,0,SD11,SAU,SAR,new
40,2025-09-03,DZ1163770410,0,sd30,SAU,SAR,returning
41,2025-09-03,DZ1163802563,0,GY98,SAU,SAR,new
42,2025-09-03,DZ1163863987,0,Gy5,SAU,SAR,returning
43,2025-09-03,DZ1163579307,0,sd88,SAU,SAR,returning
44,2025-09-03,DZ1163860687,0,SD11,SAU,SAR,returning
45,2025-09-03,DZ1163901761,0,SD99,SAU,SAR,returning
46,2025-09-03,DZ1163847817,0,TDD14,SAU,SAR,returning
47,2025-09-03,DZ1163853416,0,TDD44,SAU,SAR,returning
48,2025-09-03,DZ1163911221,0,tdd40,SAU,SAR,returning
49,2025-09-03,DZ1163875669,0,TDD44,SAU,SAR,returning
50,2025-09-03,DZ1164016612,0,GY38,SAU,SAR,returning
51,2025-09-03,DZ1163741821,0,SD76,SAU,SAR,returning
52,2025-09-03,DZ1163960292,0,TDD13,SAU,SAR,returning
53,2025-09-03,DZ1163851821,0,SD90,SAU,SAR,returning
54,2025-09-03,DZ1164027744,0,SD33,SAU,SAR,returning
55,2025-09-03,DZ1164022629,0,SD10,SAU,SAR,returning
56,2025-09-03,DZ1163625012,0,GY36,SAU,SAR,returning
57,2025-09-03,DZ1163870356,0,SD78,SAU,SAR,returning
58,2025-09-03,DZ1163954033,0,TDD14,SAU,SAR,returning
59,2025-09-03,DZ1163625221,0,SD90,SAU,SAR,returning
60,2025-09-03,DZ1163535582,0,TDD40,SAU,SAR,returning
61,2025-09-03,DZ1163968773,0,gy33,SAU,SAR,new
62,2025-09-03,DZ1163576810,0,SD184,SAU,SAR,returning
