affiliate_ID,order_number
14590,NSAHA0003630846
14590,NSAHA0024829556
14590,NSAHA0053146689
14590,NSAHA0058792073
14590,NSAHA0080356274
14590,NSAHA0099673884
14590,NAEHA0018748301
14590,NAEHA0030302132
14590,NAEHA0098845512
14590,NSAHA0052053443
14590,NSAHA0077735607
14590,NSAHA0088524871
14590,NAEHA0074008250
14590,NAEHA0081472571
14590,NSAHA0000096568
14590,NSAHA0023935491
14590,NSAHA0028975752
14590,NSAHA0050787239
14590,NSAHA0059767349
14590,NSAHA0098194623
14590,NAEHA0028475655
14590,NAEHA0056918551
14590,NAEHA0073803284
14590,NSAHA0032561872
14590,NSAHA0034318838
14590,NSAHA0045965751
14590,NSAHA0069680636
14590,NSAHA0098700791
